City_ID,Main_Weather,Description,Icon
98182,Clear,clear sky,01n
108410,Clouds,scattered clouds,03n
112931,Clear,clear sky,01n
184745,Clouds,broken clouds,04n
264371,Clear,clear sky,01n
292223,Clear,clear sky,01n
293397,Clouds,few clouds,02n
360630,Clear,clear sky,01n
524901,Clouds,overcast clouds,04n
658225,Rain,moderate rain,10n
745044,Clear,clear sky,01n
756135,Clear,clear sky,01n
1275339,Mist,mist,50n
1581130,Clouds,overcast clouds,04n
1609350,Clouds,overcast clouds,04n
1642911,Mist,mist,50n
1668341,Clouds,few clouds,02d
1701668,Clouds,scattered clouds,03d
1735161,Clouds,few clouds,02n
1816670,Clouds,overcast clouds,04d
1835848,Clouds,overcast clouds,04d
1850147,Clouds,broken clouds,04d
1880252,Clouds,broken clouds,04n
2063523,Clear,clear sky,01n
2147714,Clear,clear sky,01d
2193733,Clouds,scattered clouds,03d
2332459,Clouds,few clouds,02n
2553604,Clear,clear sky,01n
2618425,Clouds,overcast clouds,04n
2643743,Clouds,few clouds,02n
2657896,Clear,clear sky,01n
2673730,Clouds,broken clouds,04n
2759794,Clouds,few clouds,02n
2761369,Clear,clear sky,01n
2800866,Clouds,few clouds,02n
2950159,Clouds,broken clouds,04n
2964574,Clouds,broken clouds,04n
2988507,Clear,clear sky,01n
3054643,Clear,clear sky,01n
3067696,Clear,clear sky,01n
3117735,Clear,clear sky,01n
3143244,Clouds,overcast clouds,04n
3169070,Clear,clear sky,01n
3369157,Clouds,broken clouds,04n
3413829,Drizzle,drizzle rain,09d
3435910,Clear,clear sky,01n
3448433,Clear,clear sky,01n
3530597,Rain,moderate rain,10d
3871336,Clear,clear sky,01d
3936456,Clear,clear sky,01d
4887398,Clouds,broken clouds,04d
5128581,Clouds,few clouds,02d
5368361,Clouds,scattered clouds,03d
5856195,Clouds,broken clouds,04d
6167865,Clouds,few clouds,02d
6173331,Clouds,overcast clouds,04d
