City_ID,Sunrise,Sunset,Timezone
98182,1750816458,1750868136,10800
108410,1750817143,1750866336,10800
112931,1750814385,1750866838,12600
184745,1750822433,1750865801,10800
264371,1750820632,1750873891,10800
292223,1750815008,1750864351,14400
293397,1750818964,1750870248,10800
360630,1750820115,1750870792,10800
524901,1750812353,1750875498,10800
658225,1750812936,1750881003,10800
745044,1750818791,1750873220,10800
756135,1750731314,1750791684,7200
1275339,1750811579,1750859358,19800
1581130,1750803416,1750851682,25200
1609350,1750805544,1750852110,25200
1642911,1750806138,1750848479,25200
1668341,1750799138,1750848427,28800
1701668,1750800535,1750847294,28800
1735161,1750806402,1750850690,28800
1816670,1750798020,1750852011,28800
1835848,1750795919,1750849032,32400
1850147,1750793197,1750845651,32400
1880252,1750806076,1750849978,28800
2063523,1750807040,1750843262,28800
2147714,1750798839,1750834481,36000
2193733,1750793663,1750828347,43200
2332459,1750743235,1750788220,3600
2553604,1750742488,1750794255,3600
2618425,1750731976,1750795077,7200
2643743,1750736636,1750796509,3600
2657896,1750735792,1750793188,7200
2673730,1750728712,1750795700,7200
2759794,1750735134,1750795604,7200
2761369,1750733684,1750791541,7200
2800866,1750735779,1750795219,7200
2950159,1750733035,1750793613,7200
2964574,1750737457,1750798637,3600
2988507,1750736868,1750795090,7200
3054643,1750733239,1750790706,7200
3067696,1750733601,1750792561,7200
3117735,1750740331,1750794531,7200
3143244,1750730089,1750797838,7200
3169070,1750736143,1750790949,7200
3369157,1750744311,1750779930,7200
3413829,1750733807,1750809789,0
3435910,1750762851,1750798259,-10800
3448433,1750758884,1750797724,-10800
3530597,1750766396,1750814277,-21600
3871336,1750765618,1750801383,-14400
3936456,1750764481,1750805583,-18000
4887398,1750760190,1750814973,-18000
5128581,1750757148,1750811465,-14400
5368361,1750768968,1750820881,-25200
5856195,1750780265,1750828602,-36000
6167865,1750757810,1750813400,-14400
6173331,1750766872,1750825319,-25200
