City_ID,Main_Weather,Description,Icon
98182,Clear,clear sky,01n
108410,Clear,clear sky,01n
112931,Clear,clear sky,01n
184745,Clouds,overcast clouds,04n
264371,Clear,clear sky,01n
292223,Clear,clear sky,01n
293397,Clouds,scattered clouds,03n
360630,Clear,clear sky,01n
524901,Clouds,few clouds,02d
658225,Rain,moderate rain,10d
745044,Clear,clear sky,01n
756135,Clear,clear sky,01n
1275339,Mist,mist,50d
1581130,Clouds,scattered clouds,03d
1609350,Clouds,overcast clouds,04d
1642911,Clouds,few clouds,02d
1668341,Clouds,few clouds,02d
1701668,Clouds,overcast clouds,04d
1735161,Clear,clear sky,01d
1816670,Clouds,overcast clouds,04d
1835848,Mist,mist,50d
1850147,Mist,mist,50d
1880252,Clouds,broken clouds,04d
2063523,Clear,clear sky,01d
2147714,Clear,clear sky,01d
2193733,Clouds,broken clouds,04d
2332459,Rain,light rain,10n
2553604,Clear,clear sky,01n
2618425,Clouds,broken clouds,04n
2643743,Clear,clear sky,01n
2657896,Clear,clear sky,01n
2673730,Clouds,overcast clouds,04n
2759794,Clouds,few clouds,02n
2761369,Clear,clear sky,01n
2800866,Clear,clear sky,01n
2950159,Clear,clear sky,01n
2964574,Clouds,broken clouds,04n
2988507,Clear,clear sky,01n
3054643,Clear,clear sky,01n
3067696,Clouds,broken clouds,04n
3117735,Rain,light rain,10n
3143244,Rain,heavy intensity rain,10n
3169070,Clear,clear sky,01n
3369157,Rain,light rain,10n
3413829,Clouds,overcast clouds,04n
3435910,Clear,clear sky,01n
3448433,Clear,clear sky,01n
3530597,Rain,light rain,10d
3871336,Clear,clear sky,01n
3936456,Clear,clear sky,01n
4887398,Rain,moderate rain,10d
5128581,Clear,clear sky,01n
5368361,Clouds,few clouds,02d
5856195,Clouds,broken clouds,04d
6167865,Clouds,few clouds,02n
6173331,Clouds,overcast clouds,04d
